algo,seed,evaluation,timestamp,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,phase,generation,valid,rank,crowding_distance
GA,295,41,1757807297.298683,5544.684916967526,3.1032341807668957,0.2642436934450676,2.166567115426633,1.919099074752425,1.7998093297878452,1.821198,5.81,7.54,8.58,-4.014198,generation,2,False,,
GA,295,42,1757807302.807366,5508.308207965456,4.9833487557031315,0.39697436645612255,3.0374781555711468,2.621934318540529,2.158931583611858,2.286705,2.91,3.59,5.1,-3.4467049999999997,generation,2,False,,
GA,295,43,1757807308.353185,5545.44195800554,3.2707852245289173,0.3793155704245387,1.1807726445158706,0.8224710240570243,0.6122859970280281,1.152011,36.97,76.15,137.54,-26.218011000000004,generation,2,False,0.0,inf
GA,295,44,1757807313.888451,5535.0006660446525,3.3240507830256263,0.3793155704245387,1.1828820344408892,0.8224710240570243,0.6122859970280281,1.159779,35.67,73.72,133.15,-25.413779000000005,generation,2,False,,
GA,295,45,1757807319.464211,5575.428708922118,3.3253132999907717,0.3793155704245387,1.1828820344408892,0.8224710240570243,0.6122859970280281,1.159961,35.64,73.67,133.05,-25.395961000000003,generation,2,False,0.0,0.7748162389926522
GA,295,46,1757807325.104296,5639.563750009984,3.2707852245289173,0.3793155704245387,1.1828820344408892,0.8224710240570243,0.6122859970280281,1.152157,36.84,76.15,137.54,-26.205157,generation,2,False,,
GA,295,47,1757807330.626567,5521.666874992661,4.520785224528917,0.25184671034628897,2.479505411064266,2.2281853097713102,1.7322859970280284,2.504463,2.47,2.75,3.94,-3.420463,generation,2,False,,
GA,295,48,1757807336.146271,5519.319041981362,4.520785224528917,0.24598223709120537,2.479505411064266,2.2281853097713102,1.7322859970280284,2.494,2.42,2.69,3.79,-3.3840000000000003,generation,2,False,1.0,inf
GA,295,49,1757807341.78704,5638.243832974695,3.2707852245289173,0.38151432186549966,1.250974996854492,0.8905639864706272,0.6122859970280281,1.160535,33.33,65.7,139.14,-24.977535,generation,3,False,,
GA,295,50,1757807347.301292,5513.06475000456,3.2707852245289173,0.38151432186549966,1.2497017770354724,0.8905639864706272,0.6122859970280281,1.160428,33.39,65.7,139.14,-24.983428,generation,3,False,1.0,0.0025442667801304575
GA,295,51,1757807352.829109,5527.462291996926,3.692634502484838,0.2861551823291315,1.3458331135478536,1.0734426303224986,0.8385387477749656,1.47005,12.71,19.98,32.74,-8.013050000000002,generation,3,False,,
GA,295,52,1757807358.7220109,5892.540666041896,3.7429519885169995,0.36581531780375925,1.7425167595136881,1.3114339436679792,1.040403044173699,1.409243,12.06,21.3,33.83,-8.128243000000001,generation,3,False,1.0,0.22825181701420502
GA,295,53,1757807364.2963488,5573.823999962769,3.2707852245289173,0.3793155704245387,1.1807726445158706,0.8224710240570243,0.6122859970280281,1.152011,36.97,76.15,137.54,-26.218011000000004,generation,3,False,1.0,0.00664574806509314
GA,295,54,1757807369.89462,5597.883915994316,3.2707852245289173,0.3669836945426853,1.1887661888590126,0.8224710240570243,0.6122859970280281,1.168466,34.15,71.27,128.72,-24.582466,generation,3,False,1.0,0.11022109013072962
GA,295,55,1757807375.407763,5512.7156670205295,3.2706598278523478,0.3793155704245387,1.1808312533482885,0.8224710240570243,0.6122859970280281,1.151997,36.97,76.15,137.55,-26.218997000000005,generation,3,False,1.0,0.07754544644430338
GA,295,56,1757807380.960696,5552.504791994579,3.326152435473337,0.3793155704245387,1.1734331289407027,0.8224710240570243,0.6122859970280281,1.15936,36.2,73.63,132.99,-25.44136,generation,3,False,,
GA,295,57,1757807386.494484,5533.4836669499055,3.07134109232691,0.24611078655898314,2.379289086191352,2.1412150560840852,1.7169868521987426,1.927708,4.28,5.25,8.35,-3.7157080000000002,generation,3,False,,
GA,295,58,1757807392.023118,5528.280208003707,4.382395560497806,0.2498573827449246,2.9258878718686563,2.6735758614666656,2.179679814983922,0.891058,2.14,2.35,2.9,-1.630058,generation,3,False,0.0,inf
GA,295,59,1757807397.5440068,5520.379833062179,3.1021258298716856,0.26764190408988087,1.7946224588278823,1.5619727689138365,1.1373216184993118,1.548844,8.86,11.7,22.07,-5.811844,generation,3,False,1.0,0.4044857924661449
GA,295,60,1757807403.0919821,5547.6592920022085,3.8245229458995875,0.3705951389005666,2.970787110164981,2.623992669581478,2.1445218107113826,1.92254,4.04,5.11,7.82,-3.6195399999999998,generation,3,False,,
GA,295,61,1757807408.608022,5515.6394159421325,4.052939852431201,0.24370056334651816,1.9374732240538322,1.6863369006678395,1.1963895214170504,1.997037,3.71,4.77,9.68,-3.813037,generation,3,False,1.0,0.21524084735869417
