run_id,run_index,experiment,algo,seed,evaluation,timestamp,wall_time_s,t_env_ms,p1_final_drive_ratio,p2_roll_radius,p3_gear3_diff,p4_gear4_diff,p5_gear5,consumption,ela3,ela4,ela5,reward,rank,cd_raw,cd_tilde,phase,loss_critic,loss_actor,alpha,update_time_ms,loss_critic1,loss_critic2,budget,executable_name,start_ts,end_ts
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,23,1757949277.17057,554.0618975409307,5533.3760840585455,3.6730618381392253,0.2831266003073778,2.153214597099005,1.8812630074362966,1.381895191458969,1.788276,4.8,6.36,11.93,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,24,1757949282.677867,554.0618975409307,5500.76770898886,4.481828893285185,0.26441165028426455,0.938861127720078,0.8380784632157576,0.5920128271264704,1.531456,15.14,19.0,38.06,0.175,4,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,25,1757949288.17382,554.0618975409307,5489.208040991798,4.34162881822896,0.3393746334057529,2.2786577439428815,1.929047652328353,1.7108721778848648,1.928335,4.43,6.21,8.0,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,26,1757949293.667142,554.0618975409307,5483.628374990076,3.69673848035797,0.2555736967203644,1.5464964288622243,1.1783228067015445,0.8144150745888672,1.586167,7.65,13.2,27.63,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,27,1757949299.187252,554.0618975409307,5511.79445895832,4.754225453824279,0.26387581618209627,2.1658842148988495,1.7725332877612492,1.2730558663866691,2.252641,2.83,3.77,7.27,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,28,1757949304.683977,554.0618975409307,5489.75220893044,5.340894199300736,0.27571393468020167,1.5293251498384455,1.2552445251573787,1.1180157192316007,2.087055,4.3,6.41,8.17,0.35,2,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,29,1757949310.193652,554.0618975409307,5502.277666935697,5.105543703574778,0.22448289432685395,3.016360599511994,2.5276643775700696,2.1124140350955773,-13.078957,1.6,1.91,2.29,1.0,1,inf,1.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,30,1757949315.6782641,554.0618975409307,5477.7173339389265,5.462183185441234,0.264613095185653,1.4833355545816944,1.3621669601547444,0.9275735066617437,2.102716,4.05,4.74,10.46,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,31,1757949321.248523,554.0618975409307,5562.806084053591,3.9151786872830456,0.36923609038097216,2.374173462397757,1.8869967819645006,1.4146131078914517,1.614541,5.95,9.57,17.04,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,32,1757949326.760035,554.0618975409307,5503.376084030606,5.150347668527293,0.22802616000181497,1.3644457015927238,1.185033281722197,0.8413935832489844,2.195654,4.01,5.23,10.61,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,33,1757949332.2465641,554.0618975409307,5478.698584018275,3.3509266306332313,0.28023374752227775,2.796420493993507,2.412137993647658,2.164694991878344,2.156329,3.5,4.52,5.6,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
f0b02096-d302-434c-9a29-03cccbb8db63,2,default_experiment,SAC,97,34,1757949337.807174,554.0618975409307,5551.892040995881,4.45958994217208,0.2627756709559045,1.6825590200878724,1.4589435838757492,1.0624011815426484,1.885321,4.6,6.16,11.79,0.2333333333333333,3,0.0,0.0,interaction,,,,,,,100,ConsumptionCar.exe,1757949156.00117,1757949704.526326
